TID,Variable,Value
1980-01,2020indeks,32.038834951456316
1980-01,INDHOLD,33.0
1980-01,pi^12_t,
1980-01,pi_t,
1980-02,2020indeks,32.33009708737864
1980-02,INDHOLD,33.3
1980-02,pi^12_t,
1980-02,pi_t,0.009090909090908816
1980-03,2020indeks,32.81553398058252
1980-03,INDHOLD,33.8
1980-03,pi^12_t,
1980-03,pi_t,0.01501501501501501
1980-04,2020indeks,33.00970873786408
1980-04,INDHOLD,34.0
1980-04,pi^12_t,
1980-04,pi_t,0.005917159763313862
1980-05,2020indeks,33.49514563106796
1980-05,INDHOLD,34.5
1980-05,pi^12_t,
1980-05,pi_t,0.014705882352941124
1980-06,2020indeks,33.592233009708735
1980-06,INDHOLD,34.6
1980-06,pi^12_t,
1980-06,pi_t,0.0028985507246375164
1980-07,2020indeks,34.174757281553404
1980-07,INDHOLD,35.2
1980-07,pi^12_t,
1980-07,pi_t,0.017341040462427904
1980-08,2020indeks,34.271844660194176
1980-08,INDHOLD,35.3
1980-08,pi^12_t,
1980-08,pi_t,0.0028409090909089496
1980-09,2020indeks,34.46601941747573
1980-09,INDHOLD,35.5
1980-09,pi^12_t,
1980-09,pi_t,0.005665722379603277
1980-10,2020indeks,34.75728155339806
1980-10,INDHOLD,35.8
1980-10,pi^12_t,
1980-10,pi_t,0.008450704225352101
1980-11,2020indeks,35.04854368932039
1980-11,INDHOLD,36.1
1980-11,pi^12_t,
1980-11,pi_t,0.008379888268156499
1980-12,2020indeks,35.14563106796117
1980-12,INDHOLD,36.2
1980-12,pi^12_t,
1980-12,pi_t,0.0027700831024930483
1981-01,2020indeks,35.43689320388349
1981-01,INDHOLD,36.5
1981-01,pi^12_t,0.10606060606060574
1981-01,pi_t,0.00828729281767937
1981-02,2020indeks,35.728155339805824
1981-02,INDHOLD,36.8
1981-02,pi^12_t,0.10510510510510507
1981-02,pi_t,0.008219178082191858
1981-03,2020indeks,36.50485436893204
1981-03,INDHOLD,37.6
1981-03,pi^12_t,0.11242603550295849
1981-03,pi_t,0.021739130434782705
1981-04,2020indeks,36.89320388349515
1981-04,INDHOLD,38.0
1981-04,pi^12_t,0.11764705882352944
1981-04,pi_t,0.010638297872340496
1981-05,2020indeks,37.4757281553398
1981-05,INDHOLD,38.6
1981-05,pi^12_t,0.11884057971014483
1981-05,pi_t,0.015789473684210353
1981-06,2020indeks,37.86407766990291
1981-06,INDHOLD,39.0
1981-06,pi^12_t,0.12716763005780352
1981-06,pi_t,0.010362694300518172
1981-07,2020indeks,38.155339805825236
1981-07,INDHOLD,39.3
1981-07,pi^12_t,0.11647727272727226
1981-07,pi_t,0.007692307692307443
1981-08,2020indeks,38.25242718446602
1981-08,INDHOLD,39.4
1981-08,pi^12_t,0.11614730878186963
1981-08,pi_t,0.0025445292620867033
1981-09,2020indeks,38.640776699029125
1981-09,INDHOLD,39.8
1981-09,pi^12_t,0.12112676056338034
1981-09,pi_t,0.0101522842639592
1981-10,2020indeks,38.83495145631068
1981-10,INDHOLD,40.0
1981-10,pi^12_t,0.11731843575418988
1981-10,pi_t,0.005025125628140614
1981-11,2020indeks,39.32038834951456
1981-11,INDHOLD,40.5
1981-11,pi^12_t,0.12188365650969524
1981-11,pi_t,0.012499999999999956
1981-12,2020indeks,39.51456310679612
1981-12,INDHOLD,40.7
1981-12,pi^12_t,0.12430939226519322
1981-12,pi_t,0.004938271604938427
1982-01,2020indeks,39.80582524271845
1982-01,INDHOLD,41.0
1982-01,pi^12_t,0.12328767123287676
1982-01,pi_t,0.0073710073710073765
1982-02,2020indeks,40.0
1982-02,INDHOLD,41.2
1982-02,pi^12_t,0.11956521739130443
1982-02,pi_t,0.004878048780487809
1982-03,2020indeks,40.38834951456311
1982-03,INDHOLD,41.6
1982-03,pi^12_t,0.1063829787234043
1982-03,pi_t,0.009708737864077666
1982-04,2020indeks,40.582524271844655
1982-04,INDHOLD,41.8
1982-04,pi^12_t,0.09999999999999987
1982-04,pi_t,0.004807692307692069
1982-05,2020indeks,41.06796116504854
1982-05,INDHOLD,42.3
1982-05,pi^12_t,0.09585492227979264
1982-05,pi_t,0.011961722488038173
1982-06,2020indeks,41.359223300970875
1982-06,INDHOLD,42.6
1982-06,pi^12_t,0.09230769230769242
1982-06,pi_t,0.007092198581560405
1982-07,2020indeks,41.74757281553398
1982-07,INDHOLD,43.0
1982-07,pi^12_t,0.09414758269720114
1982-07,pi_t,0.009389671361502261
1982-08,2020indeks,41.94174757281554
1982-08,INDHOLD,43.2
1982-08,pi^12_t,0.09644670050761417
1982-08,pi_t,0.0046511627906977715
1982-09,2020indeks,42.42718446601942
1982-09,INDHOLD,43.7
1982-09,pi^12_t,0.09798994974874375
1982-09,pi_t,0.011574074074073959
1982-10,2020indeks,42.9126213592233
1982-10,INDHOLD,44.2
1982-10,pi^12_t,0.1050000000000002
1982-10,pi_t,0.011441647597254079
1982-11,2020indeks,43.30097087378641
1982-11,INDHOLD,44.6
1982-11,pi^12_t,0.10123456790123475
1982-11,pi_t,0.009049773755656076
1982-12,2020indeks,43.00970873786408
1982-12,INDHOLD,44.3
1982-12,pi^12_t,0.08845208845208852
1982-12,pi_t,-0.006726457399103158
1983-01,2020indeks,43.398058252427184
1983-01,INDHOLD,44.7
1983-01,pi^12_t,0.09024390243902425
1983-01,pi_t,0.009029345372460362
1983-02,2020indeks,43.49514563106796
1983-02,INDHOLD,44.8
1983-02,pi^12_t,0.08737864077669899
1983-02,pi_t,0.0022371364653244186
1983-03,2020indeks,43.398058252427184
1983-03,INDHOLD,44.7
1983-03,pi^12_t,0.07451923076923062
1983-03,pi_t,-0.0022321428571429047
1983-04,2020indeks,43.689320388349515
1983-04,INDHOLD,45.0
1983-04,pi^12_t,0.07655502392344515
1983-04,pi_t,0.006711409395973256
1983-05,2020indeks,44.1747572815534
1983-05,INDHOLD,45.5
1983-05,pi^12_t,0.0756501182033098
1983-05,pi_t,0.011111111111111072
1983-06,2020indeks,44.271844660194176
1983-06,INDHOLD,45.6
